ticker,type
SCHD,ETF
LIN,stock
IWF,ETF
XEL,stock
ROST,stock
CELR-USD,crypto
WMT,stock
JNJ,stock
ADP,stock
VRTX,stock
VNQI,ETF
XSW,ETF
SPYG,ETF
ISRG,stock
XLP,ETF
BNB-USD,crypto
IJR,ETF
IWS,ETF
SPYV,ETF
AMGN,stock
NVDA,stock
VGT,ETF
TLT,ETF
SNX-USD,crypto
NKN-USD,crypto
CHZ-USD,crypto
CEG,stock
HBAR-USD,crypto
ES,stock
ZEC-USD,crypto
STORJ-USD,crypto
AGG,ETF
GM,stock
FIL-USD,crypto
BAL-USD,crypto
YFI-USD,crypto
IDXX,stock
AMZN,stock
GLM-USD,crypto
MTD,stock
DOGE-USD,crypto
WDAY,stock
WBA,stock
PEG,stock
FDX,stock
UPS,stock
MRK,stock
MTUM,ETF
XNO-USD,crypto
SDY,ETF
COST,stock
EXC,stock
URA,ETF
NVR,stock
NOW,stock
TDY,stock
OMG-USD,crypto
WRX-USD,crypto
VEA,ETF
RPL-USD,crypto
SCHV,ETF
SHIB-USD,crypto
ADA-USD,crypto
PBW,ETF
VHT,ETF
COF,stock
VUG,ETF
D,stock
XLC,ETF
LRC-USD,crypto
BAND-USD,crypto
QCLN,ETF
TSCO,stock
XLE,ETF
PBD,ETF
APT-USD,crypto
TRX-USD,crypto
F,stock
PGR,stock
META,stock
XRT,ETF
NKE,stock
BAC,stock
DASH-USD,crypto
RTX,stock
RVN-USD,crypto
XEM-USD,crypto
XLV,ETF
ZIL-USD,crypto
XLI,ETF
TEL-USD,crypto
MPWR,stock
FAN,ETF
USB,stock
IVV,ETF
ABBV,stock
USMV,ETF
WIN-USD,crypto
PEP,stock
SXP-USD,crypto
APD,stock
WEC,stock
THETA-USD,crypto
DVY,ETF
SRE,stock
CNC,stock
XOM,stock
V,stock
SCHA,ETF
FTV,stock
DG,stock
CL,stock
SAND-USD,crypto
WFC,stock
LLY,stock
C,stock
IWB,ETF
RUNE-USD,crypto
BLK,stock
POOL,stock
XLRE,ETF
SO,stock
TXN,stock
XSD,ETF
IWR,ETF
MANA-USD,crypto
SOL-USD,crypto
SPY,ETF
ADM,stock
VIG,ETF
CRV-USD,crypto
NEAR-USD,crypto
LINK-USD,crypto
XLF,ETF
REM,ETF
XLU,ETF
GDX,ETF
QQQ,ETF
BA,stock
INJ-USD,crypto
USTC-USD,crypto
ARKF,ETF
FICO,stock
AAVE-USD,crypto
KEYS,stock
GALA-USD,crypto
ANKR-USD,crypto
SCHX,ETF
XTL,ETF
VTV,ETF
XBI,ETF
GOOGL,stock
RMD,stock
REN-USD,crypto
XPH,ETF
CPRT,stock
ICP-USD,crypto
SUSHI-USD,crypto
VOO,ETF
EIX,stock
ACN,stock
REGN,stock
1INCH-USD,crypto
ODFL,stock
QUAL,ETF
SCHF,ETF
VWO,ETF
ICLN,ETF
CRO-USD,crypto
DENT-USD,crypto
BK,stock
XRP-USD,crypto
KMB,stock
OCEAN-USD,crypto
VBR,ETF
JPM,stock
INTC,stock
DHR,stock
IWP,ETF
XLY,ETF
FLOW-USD,crypto
IWM,ETF
KSM-USD,crypto
CVS,stock
HCA,stock
SPSM,ETF
VET-USD,crypto
MDT,stock
NFLX,stock
IEMG,ETF
CRM,stock
SYS-USD,crypto
XLK,ETF
TON-USD,crypto
AAPL,stock
NMR-USD,crypto
ALGO-USD,crypto
KLAC,stock
XOP,ETF
FET-USD,crypto
FTNT,stock
ITOT,ETF
PH,stock
PFE,stock
SPGI,stock
ARKG,ETF
BMY,stock
AVAX-USD,crypto
BTT-USD,crypto
PG,stock
VTHO-USD,crypto
BNT-USD,crypto
TMO,stock
AR-USD,crypto
TSLA,stock
CDW,stock
MCD,stock
DOT-USD,crypto
IJH,ETF
LTC-USD,crypto
DYDX-USD,crypto
EFA,ETF
ZTS,stock
SKYY,ETF
LQD,ETF
VTI,ETF
PUNDIX-USD,crypto
UNH,stock
DUK,stock
ZRX-USD,crypto
MS,stock
GE,stock
MA,stock
VNQ,ETF
ORCL,stock
MKR-USD,crypto
TYL,stock
CTSI-USD,crypto
BTC-USD,crypto
VYM,ETF
ADBE,stock
ROSE-USD,crypto
MLM,stock
EOG,stock
TAN,ETF
ACES,ETF
CSCO,stock
AMP-USD,crypto
AXS-USD,crypto
RAY-USD,crypto
IYR,ETF
VO,ETF
T,stock
ETH-USD,crypto
XHB,ETF
ENJ-USD,crypto
ANET,stock
MO,stock
MSFT,stock
GILD,stock
ETN,stock
LIT,ETF
LOW,stock
XDC-USD,crypto
TGT,stock
CAT,stock
CELO-USD,crypto
LDO-USD,crypto
HD,stock
AVGO,stock
HNT-USD,crypto
IWD,ETF
TRB-USD,crypto
BND,ETF
ZEN-USD,crypto
EGLD-USD,crypto
MMM,stock
LMT,stock
SCHG,ETF
XAR,ETF
HDV,ETF
IWO,ETF
DE,stock
IBM,stock
ETC-USD,crypto
KAVA-USD,crypto
CVX,stock
VB,ETF
STMX-USD,crypto
XME,ETF
ILV-USD,crypto
BAT-USD,crypto
ARKK,ETF
DIA,ETF
ARKW,ETF
CDNS,stock
PAYX,stock
FDN,ETF
EFX,stock
YGG-USD,crypto
KO,stock
SPLV,ETF
AEP,stock
CTAS,stock
ELF-USD,crypto
SNPS,stock
LIT.AX,stock
NCONTINENTAL,stock
POD.AX,stock
AKO.AX,stock
AGFB.BR,stock
COLR.BR,stock
BBAS3.SA,stock
USIM5.SA,stock
CAR.TO,stock
GIB.A,stock
KXS.TO,stock
LSPD.TO,stock
NDVA.TO,stock
SKYY.TO,stock
VGCX.TO,stock
VFF.TO,stock
HYPOTHEKARBK,stock
NESN.SW,stock
ZURN.SW,stock
CFR.SW,stock
SGSN.SW,stock
UBSG.SW,stock
NOVN.SW,stock
ROG.SW,stock
CSGN.SW,stock
LOGN.SW,stock
ADEN.SW,stock
GIVN.SW,stock
SREN.SW,stock
DKSH.SW,stock
TEMN.SW,stock
BCGE.SW,stock
ALC.SW,stock
SDF.DE,stock
SY1.DE,stock
TKA.DE,stock
HOT.DE,stock
ADV.DE,stock
EVD.DE,stock
EVT.DE,stock
DUE.DE,stock
DRI.DE,stock
VAR1.DE,stock
HAG.DE,stock
VOE3.DE,stock
IBE.MC,stock
NOKIA.HE,stock
AIR.PA,stock
SBRY.L,stock
HL.L,stock
0700.HK,stock
CRH,stock
TEVA,stock
8306.T,stock
8316.T,stock
8331.T,stock
8355.T,stock
8377.T,stock
8601.T,stock
8750.T,stock
8795.T,stock
8802.T,stock
NTES,stock
CMA,stock
PROSY,stock
YAR.OL,stock
ORK.OL,stock
CDR.WA,stock
ARM,stock
CONN,stock
NOV,stock
PLTR,stock
VZ,stock
TSVT,stock
VWCE.DE,stock
EUNL.DE,stock
IS3N.DE,stock
EUNZ.DE,etf
EMIM.L,etf
CEMU.L,etf
CSEM.L,etf
SDEM.L,etf
WCLD,etf
ETC,crypto
CXT,crypto
COMP,crypto
BNT,crypto
MELANIA,crypto
SNX,crypto
CRV,crypto
AXS,crypto
SUSHI,crypto
SAND,crypto
OXT,crypto
CHZ,crypto
BAT,crypto
CTSI,crypto
LRC,crypto
1INCH,crypto
AUDIO,crypto
PERP,crypto
OGN,crypto
BAL,crypto
FTM,crypto
UMA,crypto
STORJ,crypto
BAND,crypto
MKR,crypto
IITU.L,etf
SUSM.L,etf
UBSMWUA.MI,etf
SEDY.L,etf
XDW0.DE,etf
XDW2.DE,etf
AMWM.L,etf
SMH,etf
DGTL.L,etf
CSNDX.DE,etf
3GOL.L,etf
EMIM.L,etf
FGQI.L,etf
SPXP.L,etf
AYEW.F,etf
SUSM.L,etf
WRDUSW.SW,etf
SEDY.L,etf
XMAW.MI,etf
XDEM.L,etf
DAGB.L,etf
VDEV.L,etf
3QQQ.DE,etf
XNAS.DE,etf
SMH.L,etf
DGTL.L,etf
CSNDX.DE,etf
3GOL.L,etf
EMIM.L,etf
FGQI.L,etf
SPXP.L,etf
